,0,1,2,3
0,0.841065,-0.045992,0.251267,0.0
1,0.861126,-0.01443,0.247121,0.0
2,0.847056,0.017447,0.234163,0.0
3,0.859499,0.05016,0.229406,0.0
4,0.84429,-0.045873,0.217254,0.0
5,0.860154,-0.014564,0.211941,0.0
6,0.863107,0.017326,0.203753,0.0
7,0.874457,0.050115,0.198033,0.0
8,0.85281,-0.046336,0.185592,0.0
9,0.872389,-0.015075,0.180531,0.0
10,0.871069,0.017182,0.17172,0.0
11,0.872384,0.049232,0.163838,0.0
12,0.851253,-0.046102,0.152314,0.0
13,0.856751,-0.014955,0.144623,0.0
14,0.881743,0.017084,0.140312,0.0
15,0.869942,0.048637,0.130372,0.0
16,0.863175,-0.046748,0.121951,0.0
17,0.871382,-0.015514,0.114428,0.0
18,0.876356,0.016521,0.106846,0.0
19,0.880097,0.048589,0.099181,0.0
20,0.858119,-0.046474,0.089263,0.0
21,0.871986,-0.015677,0.082287,0.0
22,0.864729,0.016151,0.073538,0.0
23,0.873184,0.047901,0.066214,0.0
24,0.0,-0.0,0.0,0.0
25,0.879388,-0.01581,0.050867,0.0
26,0.89879,0.016473,0.043651,0.0
27,0.874033,0.047642,0.034239,0.0
28,0.863302,-0.047208,0.026567,0.0
29,0.889649,-0.016305,0.018949,0.0
30,0.880794,0.015836,0.010609,0.0
31,0.889676,0.048495,0.002488,0.0
32,0.867681,-0.047599,-0.005005,0.0
33,0.883749,-0.016352,-0.013268,0.0
34,0.884596,0.01575,-0.021622,0.0
35,0.891187,0.048265,-0.030075,0.0
36,0.858924,-0.04742,-0.036355,0.0
37,0.851721,-0.015908,-0.043899,0.0
38,0.889219,0.015677,-0.054084,0.0
39,0.887507,0.048066,-0.062463,0.0
40,0.848062,-0.046969,-0.066995,0.0
41,0.862499,-0.01626,-0.076079,0.0
42,0.877702,0.01532,-0.085608,0.0
43,0.852879,0.046041,-0.09143,0.0
44,0.877781,-0.048768,-0.101719,0.0
45,0.877995,-0.016858,-0.109847,0.0
46,0.879945,0.015206,-0.118365,0.0
47,0.0,0.0,-0.0,0.0
48,0.0,-0.0,-0.0,0.0
49,0.851666,-0.016502,-0.138424,0.0
50,0.875017,0.015121,-0.150535,0.0
51,0.872384,0.047247,-0.158929,0.0
52,0.824764,-0.046545,-0.157732,0.0
53,0.852882,-0.016674,-0.17092,0.0
54,0.850291,0.014693,-0.178746,0.0
55,0.8659,0.047199,-0.191139,0.0
56,0.864075,-0.049368,-0.198699,0.0
57,0.859552,-0.016954,-0.205766,0.0
58,0.847912,0.014652,-0.21144,0.0
59,0.0,0.0,-0.0,0.0
60,0.0,-0.0,-0.0,0.0
61,0.0,-0.0,-0.0,0.0
62,0.78544,0.01371,-0.228078,0.0
63,0.0,0.0,-0.0,0.0
64,0.838854,-0.051036,0.250695,0.0
65,0.8591,-0.019669,0.24657,0.0
66,0.851002,0.012305,0.235229,0.0
67,0.856895,0.044735,0.228633,0.0
68,0.838192,-0.050702,0.215761,0.0
69,0.860048,-0.019841,0.211941,0.0
70,0.860278,0.011989,0.203064,0.0
71,0.857214,0.043851,0.194064,0.0
72,0.850559,-0.05145,0.185168,0.0
73,0.870322,-0.020382,0.180126,0.0
74,0.875082,0.01189,0.172493,0.0
75,0.883468,0.044421,0.165865,0.0
76,0.851936,-0.051384,0.15249,0.0
77,0.8527,-0.020118,0.143957,0.0
78,0.883806,0.0117,0.140626,0.0
79,0.886028,0.044085,0.13274,0.0
80,0.860896,-0.051924,0.121671,0.0
81,0.873253,-0.020908,0.114689,0.0
82,0.875448,0.011131,0.106725,0.0
83,0.878394,0.04309,0.098957,0.0
84,0.860796,-0.051918,0.089573,0.0
85,0.872868,-0.021051,0.082381,0.0
86,0.869793,0.010907,0.073962,0.0
87,0.883421,0.043028,0.066969,0.0
88,0.839554,-0.050931,0.056603,0.0
89,0.878277,-0.021182,0.05081,0.0
90,0.89388,0.010897,0.043409,0.0
91,0.886286,0.042857,0.034708,0.0
92,0.861001,-0.052383,0.026505,0.0
93,0.895529,-0.021911,0.019077,0.0
94,0.868876,0.010289,0.010465,0.0
95,0.881966,0.042648,0.002466,0.0
96,0.864378,-0.05274,-0.004988,0.0
97,0.883632,-0.021774,-0.013268,0.0
98,0.884676,0.010321,-0.021622,0.0
99,0.883481,0.042412,-0.029805,0.0
100,0.861609,-0.052873,-0.036482,0.0
101,0.848612,-0.021059,-0.043745,0.0
102,0.890296,0.010232,-0.054145,0.0
103,0.882803,0.04238,-0.062113,0.0
104,0.865669,-0.053274,-0.068411,0.0
105,0.863378,-0.021576,-0.076167,0.0
106,0.873798,0.00989,-0.08522,0.0
107,0.858111,0.041044,-0.091962,0.0
108,0.877465,-0.054153,-0.101719,0.0
109,0.876883,-0.02222,-0.109723,0.0
110,0.878039,0.009784,-0.118099,0.0
111,0.877888,0.042144,-0.126808,0.0
112,0.839584,-0.052257,-0.128723,0.0
113,0.849576,-0.021677,-0.138103,0.0
114,0.873122,0.009729,-0.150196,0.0
115,0.868726,0.041704,-0.158213,0.0
116,0.848971,-0.053138,-0.162421,0.0
117,0.852764,-0.021907,-0.17092,0.0
118,0.846451,0.009432,-0.177923,0.0
119,0.861296,0.041649,-0.190063,0.0
120,0.85792,-0.0543,-0.197357,0.0
121,0.859432,-0.022228,-0.205766,0.0
122,0.849926,0.009471,-0.211924,0.0
123,0.0,0.0,-0.0,0.0
124,0.80938,-0.051795,-0.218682,0.0
125,0.0,-0.0,-0.0,0.0
126,0.795113,0.008999,-0.230866,0.0
127,0.0,0.0,-0.0,0.0
128,0.844262,-0.056566,0.252411,0.0
129,0.854159,-0.024801,0.245191,0.0
130,0.852026,0.007092,0.235495,0.0
131,0.863911,0.039787,0.230436,0.0
132,0.828201,-0.0552,0.213272,0.0
133,0.861852,-0.025175,0.21242,0.0
134,0.867148,0.006763,0.204672,0.0
135,0.882801,0.039731,0.199798,0.0
136,0.851202,-0.056733,0.18538,0.0
137,0.866265,-0.025606,0.179316,0.0
138,0.871214,0.006491,0.17172,0.0
139,0.868013,0.038306,0.162916,0.0
140,0.848658,-0.056414,0.151962,0.0
141,0.851574,-0.025321,0.143791,0.0
142,0.880898,0.006256,0.140155,0.0
143,0.877389,0.03826,0.131408,0.0
144,0.856609,-0.056943,0.121113,0.0
145,0.873108,-0.026266,0.114689,0.0
146,0.869545,0.00572,0.105999,0.0
147,0.869706,0.037316,0.097951,0.0
148,0.857484,-0.057001,0.089263,0.0
149,0.870733,-0.026347,0.082193,0.0
150,0.866854,0.005551,0.073708,0.0
151,0.875699,0.037267,0.066365,0.0
152,0.848186,-0.05668,0.057207,0.0
153,0.881124,-0.026661,0.050983,0.0
154,0.895928,0.005424,0.043506,0.0
155,0.885534,0.037376,0.034669,0.0
156,0.860663,-0.057665,0.026505,0.0
157,0.896377,-0.027436,0.019098,0.0
158,0.863923,0.004929,0.010405,0.0
159,0.875217,0.036941,0.002446,0.0
160,0.870025,-0.058445,-0.005022,0.0
161,0.888479,-0.027349,-0.013343,0.0
162,0.881723,0.004876,-0.021549,0.0
163,0.877733,0.03674,-0.029603,0.0
164,0.857281,-0.057889,-0.036313,0.0
165,0.854456,-0.026451,-0.044054,0.0
166,0.883355,0.004731,-0.05372,0.0
167,0.88504,0.037046,-0.062253,0.0
168,0.0,-0.0,-0.0,0.0
169,0.870199,-0.027091,-0.076782,0.0
170,0.864885,0.004481,-0.084347,0.0
171,0.865301,0.036068,-0.092707,0.0
